City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,hancheng,32.5186,112.3522,304.52,19,93,2.86,CN,1683873975
152,necochea,-38.5473,-58.7368,281.57,71,100,5.12,AR,1683873701
153,neckargemund,49.3922,8.7942,286.34,92,100,1.4,DE,1683873975
154,taoudenni,22.6783,-3.9836,305.62,10,99,2.76,ML,1683873715
155,cabo san lucas,22.8909,-109.9124,295.66,43,100,0.45,MX,1683873681
156,puerto lempira,15.2667,-83.7667,298.69,89,82,3.28,HN,1683873975
157,port alfred,-33.5906,26.891,287.69,98,100,1.34,ZA,1683873676
158,veraval,20.9,70.3667,307.33,48,4,7.46,IN,1683873521
159,bridgewater,44.3835,-64.5155,279.32,98,77,1.54,CA,1683873975
160,longyearbyen,78.2186,15.6401,268.06,74,75,3.09,SJ,1683873675
161,aykhal,66.0,111.5,274.45,98,85,8.14,RU,1683873681
162,camana,-16.6228,-72.7111,291.78,86,4,2.41,PE,1683873854
163,adrar,20.5022,-10.0711,300.16,24,2,3.33,MR,1683873728
164,alaghsas,17.0187,8.0168,304.09,22,100,8.23,NE,1683873708
165,la passe,45.5549,-0.8967,285.36,79,83,2.91,FR,1683873682
166,fort st. john,56.2499,-120.8529,287.09,51,40,3.6,CA,1683873529
167,yartsevo,55.0667,32.6964,290.04,45,86,2.35,RU,1683873976
168,kandi,11.1342,2.9386,301.48,59,97,3.5,BJ,1683873976
169,rio grande,-32.035,-52.0986,288.03,61,35,2.91,BR,1683873857
170,tsaratanana,-16.7833,47.65,300.47,53,8,3.83,MG,1683873976
171,mina clavero,-31.721,-65.0062,285.51,81,2,2.25,AR,1683873976
172,sitka,57.0531,-135.33,285.09,54,100,5.66,US,1683873768
173,woolgoolga,-30.1106,153.2007,294.08,71,12,2.78,AU,1683873804
174,tekkali,18.6167,84.2333,308.53,46,100,6.44,IN,1683873977
175,dickinson,29.4608,-95.0513,299.91,90,100,6.69,US,1683873977
176,tibiri,13.5627,7.0485,299.34,78,0,0.0,NE,1683873977
177,fale old settlement,-9.3852,-171.2468,302.0,75,19,5.63,TK,1683873686
178,alice springs,-23.7,133.8833,294.9,18,0,7.2,AU,1683873710
179,haverfordwest,51.8017,-4.9691,286.25,89,0,0.89,GB,1683873977
180,wailua homesteads,22.0669,-159.378,295.39,92,100,4.63,US,1683873674
181,dwarka,22.2394,68.9678,305.15,57,0,7.62,IN,1683873847
182,calama,-22.4667,-68.9333,281.42,14,0,8.75,CL,1683873724
183,fortuna,40.5982,-124.1573,285.18,95,100,0.0,US,1683873809
184,las tablas,7.7667,-80.2833,300.47,99,88,0.93,PA,1683873977
185,georgetown,5.4112,100.3354,308.12,66,20,4.63,MY,1683873675
186,anna regina,7.2644,-58.5077,297.87,91,100,3.78,GY,1683873977
187,talnakh,69.4865,88.3972,260.49,76,22,3.88,RU,1683873678
188,sabancuy,18.9667,-91.1833,301.25,71,32,5.49,MX,1683873978
189,remire-montjoly,4.9167,-52.2667,296.17,100,100,0.51,GF,1683873679
190,puerto cortez,15.8333,-87.95,297.34,84,100,3.02,HN,1683873978
191,port lincoln,-34.7333,135.8667,288.76,61,8,4.28,AU,1683873681
192,cambria,35.5641,-121.0808,287.73,90,0,0.89,US,1683873854
193,kinkala,-4.3614,14.7644,297.97,87,100,0.7,CG,1683873978
194,karratha,-20.7377,116.8463,302.44,22,0,6.48,AU,1683873766
195,bamusso,4.4591,8.9027,300.08,83,99,1.34,CM,1683873978
196,tralee,52.2704,-9.7026,283.29,93,100,1.03,IE,1683873774
197,pontes e lacerda,-15.2261,-59.3353,292.57,97,72,1.07,BR,1683873978
198,san patricio,28.017,-97.5169,300.28,96,40,4.96,US,1683873699
199,nova olimpia,-14.7972,-57.2881,293.11,98,22,0.67,BR,1683873978
200,mount isa,-20.7333,139.5,302.02,23,0,4.63,AU,1683873807
201,thief river falls,48.1191,-96.1812,291.11,52,0,5.66,US,1683873978
202,melo,-32.3667,-54.1833,285.51,80,100,1.5,UY,1683873979
203,colachel,8.1667,77.25,304.3,67,76,4.85,IN,1683873979
204,lagoa,39.05,-27.9833,289.51,88,100,4.26,PT,1683873845
205,atafu village,-8.5421,-172.5159,301.75,77,7,5.49,TK,1683873674
206,mani,4.8172,-72.2886,295.47,95,100,1.56,CO,1683873979
207,yuzhno-kurilsk,44.0306,145.8556,280.03,70,100,1.74,RU,1683873685
208,praia da vitoria,38.7333,-27.0667,289.68,94,75,2.46,PT,1683873727
209,taltal,-25.4,-70.4833,289.05,83,27,0.42,CL,1683873715
210,youghal,51.95,-7.8506,283.71,100,10,4.39,IE,1683873979
211,taft,31.7471,54.2088,299.12,18,0,3.09,IR,1683873800
212,vallenar,-28.5708,-70.7581,289.72,68,4,0.35,CL,1683873979
213,richards bay,-28.783,32.0377,295.26,79,88,4.64,ZA,1683873800
214,barah,13.7,30.3667,309.6,24,0,3.82,SD,1683873867
215,klamath falls,42.2249,-121.7817,285.91,69,0,1.54,US,1683873933
216,macau,22.2006,113.5461,298.04,88,40,5.66,MO,1683873695
217,pedernales,18.0384,-71.744,298.91,64,1,1.18,DO,1683873980
218,terrace,54.5163,-128.6035,287.1,54,100,4.12,CA,1683873923
219,tvoroyri,61.5556,-6.8111,281.93,81,100,5.04,FO,1683873980
220,maple glen,40.0156,-79.9767,287.06,84,73,1.3,US,1683873980
221,zalari,53.5584,102.5065,293.38,31,30,4.1,RU,1683873980
222,minas de marcona,-15.2119,-75.1103,286.47,91,33,2.94,PE,1683873686
223,panaba,21.2833,-88.2667,297.87,89,88,3.43,MX,1683873980
224,salisbury,51.0693,-1.7957,284.91,87,100,6.69,GB,1683873981
225,porbandar,21.6422,69.6093,307.22,47,0,6.9,IN,1683873981
226,pikalevo,59.5183,34.1664,290.22,40,12,3.11,RU,1683873981
227,cold lake,54.4502,-110.2017,285.12,66,75,1.03,CA,1683873981
228,dano,11.15,-3.0667,302.77,53,75,4.17,BF,1683873981
229,medvedovskaya,45.4531,39.0258,288.27,62,8,2.94,RU,1683873981
230,quellon,-43.1167,-73.6167,286.29,94,100,1.54,CL,1683873716
231,tirumullaivasal,11.2333,79.8333,308.31,50,100,3.94,IN,1683873981
232,ulladulla,-35.35,150.4667,288.09,73,83,2.01,AU,1683873713
233,pankrushikha,53.8319,80.3406,289.02,37,20,5.12,RU,1683873981
234,pindushi,62.9152,34.58,290.11,37,12,3.06,RU,1683873713
235,badger,64.8,-147.5333,287.29,52,40,2.57,US,1683873690
236,mtambile,-5.3833,39.7,300.09,79,7,4.3,TZ,1683873803
237,alibag,18.6411,72.8792,307.19,62,18,5.03,IN,1683873982
238,gorgan,36.8387,54.4348,296.13,69,75,5.14,IR,1683873798
239,amqui,48.4638,-67.4313,278.61,80,92,2.32,CA,1683873771
240,la gi,10.6667,107.7833,304.16,65,100,4.45,VN,1683873679
241,campo mourao,-24.0456,-52.3831,282.72,66,27,2.13,BR,1683873982
242,port augusta,-32.5,137.7667,291.84,53,0,6.12,AU,1683873776
243,libog,13.2349,123.7778,302.67,68,28,3.23,PH,1683873982
244,gemena,3.25,19.7667,300.05,72,32,0.88,CD,1683873982
245,beyneu,45.3167,55.2,294.83,46,18,6.53,KZ,1683873696
246,skelleftea,64.7507,20.9528,291.48,54,0,3.6,SE,1683873982
247,damara,4.9608,18.7035,299.36,79,21,0.82,CF,1683873982
248,kisesa,-3.0833,34.15,295.08,67,14,2.39,TZ,1683873983
249,al bawiti,28.3492,28.8659,296.61,40,0,7.12,EG,1683873983
250,ridder,50.355,83.5133,284.92,93,100,0.52,KZ,1683873983
251,ta`u,-14.2336,-169.5144,301.11,77,19,5.35,AS,1683873705
252,vila franca do campo,37.7167,-25.4333,289.38,89,88,1.38,PT,1683873694
